Date,Open,High,Low,Close
18-Mar-16,7535,7614,7518,7604.35
21-Mar-16,7619,7714,7618,7704.25
22-Mar-16,7696,7728,7644,7714.9
23-Mar-16,7717,7727,7671,7716.5
28-Mar-16,7741,7749,7588,7615.1
29-Mar-16,7607,7653,7582,7597
30-Mar-16,7651,7742,7643,7735.2
31-Mar-16,7728,7778,7702,7738.4
1-Apr-16,7718,7740,7666,7713.05
4-Apr-16,7733,7764,7704,7758.8
5-Apr-16,7736,7736,7589,7603.2
6-Apr-16,7636,7639,7592,7614.35
7-Apr-16,7630,7631,7536,7546.45
8-Apr-16,7542,7569,7527,7555.2
11-Apr-16,7578,7679,7517,7671.4
12-Apr-16,7669,7717,7663,7708.95
13-Apr-16,7777,7865,7772,7850.45
18-Apr-16,7908,7921,7843,7914.7
20-Apr-16,7950,7950,7878,7914.75
21-Apr-16,7954,7978,7884,7912.05
22-Apr-16,7892,7923,7873,7899.3
25-Apr-16,7895,7911,7827,7855.05
26-Apr-16,7828,7975,7823,7962.65
27-Apr-16,7942,7991,7941,7979.9
28-Apr-16,7967,7992,7834,7847.25
29-Apr-16,7844,7889,7789,7849.8
2-May-16,7823,7830,7777,7805.9
3-May-16,7825,7890,7735,7747
4-May-16,7724,7749,7697,7706.55
5-May-16,7731,7778,7707,7735.5
6-May-16,7718,7739,7678,7733.45
9-May-16,7755,7874,7754,7866.05
10-May-16,7874,7897,7838,7887.8
11-May-16,7805,7893,7781,7848.85
12-May-16,7871,7916,7850,7900.4
13-May-16,7881,7881,7784,7814.9
16-May-16,7831,7874,7772,7860.75
17-May-16,7897,7940,7880,7890.75
18-May-16,7847,7882,7811,7870.15
19-May-16,7876,7876,7767,7783.4
20-May-16,7792,7812,7736,7749.7
23-May-16,7814,7821,7722,7731.05
24-May-16,7738,7762,7716,7748.85
25-May-16,7812,7941,7809,7934.9
26-May-16,7974,8083,7949,8069.65
27-May-16,8082,8164,8077,8156.65
30-May-16,8167,8200,8151,8178.5
31-May-16,8210,8214,8134,8160.1
1-Jun-16,8179,8215,8171,8179.95
2-Jun-16,8157,8230,8155,8218.95
3-Jun-16,8246,8262,8210,8220.8
6-Jun-16,8229,8235,8186,8201.05
7-Jun-16,8236,8295,8216,8266.45
8-Jun-16,8286,8289,8252,8273.05
9-Jun-16,8273,8273,8185,8203.6
10-Jun-16,8180,8266,8163,8170.05
13-Jun-16,8102,8125,8064,8110.6
14-Jun-16,8134,8135,8070,8108.85
15-Jun-16,8139,8213,8123,8206.6
16-Jun-16,8181,8181,8074,8140.75
17-Jun-16,8177,8195,8136,8170.2
20-Jun-16,8116,8244,8107,8238.5
21-Jun-16,8255,8257,8202,8219.9
22-Jun-16,8214,8238,8153,8203.7
23-Jun-16,8201,8286,8188,8270.45
24-Jun-16,8029,8101,7927,8088.6
27-Jun-16,8039,8121,8039,8094.7
28-Jun-16,8096,8146,8087,8127.85
29-Jun-16,8173,8212,8158,8204
30-Jun-16,8260,8308,8242,8287.75
1-Jul-16,8313,8357,8309,8328.35
4-Jul-16,8377,8398,8365,8370.7
5-Jul-16,8379,8381,8320,8335.95
7-Jul-16,8342,8362,8318,8337.9
8-Jul-16,8350,8353,8288,8323.2
11-Jul-16,8413,8475,8407,8467.9
12-Jul-16,8503,8527,8479,8521.05
13-Jul-16,8540,8550,8494,8519.5
14-Jul-16,8516,8571,8501,8565
15-Jul-16,8565,8595,8510,8541.4
18-Jul-16,8564,8587,8494,8508.7
19-Jul-16,8514,8540,8477,8528.55
20-Jul-16,8515,8570,8513,8565.85
21-Jul-16,8583,8585,8503,8510.1
22-Jul-16,8520,8549,8490,8541.2
25-Jul-16,8520,8641,8517,8635.65
26-Jul-16,8634,8645,8577,8590.65
27-Jul-16,8599,8665,8572,8615.8
28-Jul-16,8637,8675,8625,8666.3
29-Jul-16,8668,8670,8631,8638.5
1-Aug-16,8654,8711,8591,8636.55
2-Aug-16,8647,8687,8611,8622.9
3-Aug-16,8635,8635,8530,8544.85
4-Aug-16,8600,8601,8518,8551.1
5-Aug-16,8600,8689,8590,8683.15
8-Aug-16,8713,8724,8698,8711.35
9-Aug-16,8728,8728,8638,8678.25
10-Aug-16,8687,8690,8565,8575.3
11-Aug-16,8573,8601,8540,8592.15
12-Aug-16,8605,8684,8604,8672.15
16-Aug-16,8670,8682,8600,8642.55
17-Aug-16,8640,8667,8604,8624.05
18-Aug-16,8649,8691,8645,8673.25
19-Aug-16,8694,8697,8647,8666.9
22-Aug-16,8667,8685,8614,8629.15
23-Aug-16,8628,8642,8580,8632.6
24-Aug-16,8649,8661,8621,8650.3
25-Aug-16,8669,8683,8584,8592.2
26-Aug-16,8614,8623,8548,8572.55
29-Aug-16,8584,8622,8544,8607.45
30-Aug-16,8647,8751,8642,8744.35
31-Aug-16,8754,8819,8754,8786.2
1-Sep-16,8794,8813,8760,8774.65
2-Sep-16,8796,8824,8768,8809.65
6-Sep-16,8853,8951,8848,8943
7-Sep-16,8969,8969,8913,8917.95
